codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,votos_validos,votos_cepeda,pct_cepeda,ganador_codpar,ganador_pct,potencial_no_votante,brecha_votos_vs_ganador,nbi_score,score_oportunidad
11064,PUERTO TEJADA,CAUCA,Pacífico indígena/campesino,35830,21576,17750,82.26,7,82.26,14254,0,0.4,12388.0
48004,BARRANCAS,LA GUAJIRA,Caribe norte,27356,12190,8124,66.64,7,66.64,15166,0,0.4,12233.0
13061,VALENCIA,CORDOBA,Caribe + Magdalena Medio,28857,12515,6175,49.34,7,49.34,16342,0,0.4,12050.0
12225,CURUMANI,CESAR,Caribe norte,31317,15356,7793,50.74,7,50.74,15961,0,0.4,11859.0
29073,LIBANO,TOLIMA,Sur Tolima-Huila-Caquetá,34080,17897,8501,47.49,7,47.49,16183,0,0.4,11814.0
01295,YARUMAL,ANTIOQUIA,Antioquia rural uribista,35286,16156,3096,19.16,10,56.44,19130,6023,0.4,11797.0
01237,SAN PEDRO DE URABA,ANTIOQUIA,Urabá,29573,11431,3017,26.39,10,59.75,18142,3814,0.4,11712.0
13019,CHINU,CORDOBA,Caribe + Magdalena Medio,40358,23683,9086,38.36,10,48.14,16675,2315,0.4,11563.0
21055,PUEBLOVIEJO,MAGDALENA,Caribe norte,22817,8104,4940,60.95,7,60.95,14713,0,0.4,11532.0
01208,REMEDIOS,ANTIOQUIA,Antioquia rural uribista,23910,7918,3584,45.26,7,45.26,15992,0,0.4,11531.0
26060,MONTENEGRO,QUINDIO,Eje cafetero,35223,18060,5814,32.19,10,46.33,17163,2555,0.4,11478.0
01301,ZARAGOZA,ANTIOQUIA,Antioquia rural uribista,21838,6234,3012,48.31,7,48.31,15604,0,0.4,11442.0
03019,LURUACO,ATLANTICO,Caribe norte,26393,10865,5206,47.91,7,47.91,15528,0,0.4,11361.0
09130,VILLAMARIA,CALDAS,Eje cafetero,48521,31809,10967,34.47,10,41.17,16712,2129,0.4,11329.0
13060,TUCHIN,CORDOBA,Caribe + Magdalena Medio,28195,13883,8706,62.7,7,62.7,14312,0,0.4,11318.0
01064,CACERES,ANTIOQUIA,Antioquia rural uribista,21081,6365,3635,57.1,7,57.1,14716,0,0.4,11308.0
21079,SITIONUEVO,MAGDALENA,Caribe norte,21932,7452,4427,59.4,7,59.4,14480,0,0.4,11260.0
01019,ANDES,ANTIOQUIA,Antioquia rural uribista,36323,17551,2566,14.62,10,57.82,18772,7582,0.4,11235.0
88655,PANAMA,CONSULADOS,Exterior (consulados),29196,11028,2052,18.6,10,64.93,18168,5109,0.4,11163.0
12415,EL PASO,CESAR,Caribe norte,29903,16047,10256,63.91,7,63.91,13856,0,0.4,11025.0
01191,NECHI,ANTIOQUIA,Antioquia rural uribista,22120,6357,2469,38.83,10,50.98,15763,772,0.4,10961.0
12410,EL COPEY,CESAR,Caribe norte,26182,12154,7212,59.33,7,59.33,14028,0,0.4,10905.0
28060,MAJAGUAL,SUCRE,Caribe + Magdalena Medio,30173,13738,4195,30.53,10,56.4,16435,3554,0.4,10882.0
07214,PUERTO BOYACA,BOYACA,Boyacá-Cundi rural,39824,23846,8243,34.56,10,50.36,15978,3766,0.4,10837.0
11028,GUAPI,CAUCA,Pacífico afro,19226,7381,6723,91.08,7,91.08,11845,0,0.4,10712.0
12720,PUEBLO BELLO,CESAR,Caribe norte,23911,10224,5910,57.8,7,57.8,13687,0,0.4,10556.0
12375,CHIRIGUANA,CESAR,Caribe norte,25033,11396,6579,57.73,7,57.73,13637,0,0.4,10513.0
68001,MITU,VAUPES,Amazonía,19993,7450,5531,74.24,7,74.24,12543,0,0.4,10498.0
03049,SANTO TOMAS,ATLANTICO,Caribe norte,27540,14141,8522,60.26,7,60.26,13399,0,0.4,10465.0
25069,PUERTO SANTANDER,NORTE DE SAN,Catatumbo / Frontera,21306,3646,473,12.97,10,77.59,17660,2356,0.4,10453.0
31061,GUACARI,VALLE,Valle del Cauca,30395,17574,11944,67.96,7,67.96,12821,0,0.4,10409.0
28300,TOLU,SUCRE,Caribe + Magdalena Medio,26275,13801,10148,73.53,7,73.53,12474,0,0.4,10405.0
11061,PIENDAMO,CAUCA,Pacífico indígena/campesino,32375,18644,9752,52.3,7,52.3,13731,0,0.4,10288.0
11007,BOLIVAR,CAUCA,Pacífico indígena/campesino,29820,17799,14031,78.83,7,78.83,12021,0,0.4,10282.0
12300,CHIMICHAGUA,CESAR,Caribe norte,26186,11657,4827,41.4,10,52.69,14529,1316,0.4,10252.0
