codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
07259,SATIVANORTE,BOYACA,Boyacá-Cundi rural,2479,1341,1138,10,2,175,13.04,937,69.87,33,762,-56.830000000000005
07037,CALDAS,BOYACA,Boyacá-Cundi rural,3219,1920,1299,20,4,434,22.6,1193,62.13,49,759,-39.53
27028,CABRERA,SANTANDER,Santanderes rurales,1835,1176,659,6,2,103,8.75,853,72.53,16,750,-63.78
29004,ALPUJARRA,TOLIMA,Sur Tolima-Huila-Caquetá,3744,2114,1630,30,3,407,19.25,1153,54.54,23,746,-35.29
29100,RONCESVALLES,TOLIMA,Sur Tolima-Huila-Caquetá,4407,1857,2550,53,7,377,20.3,1114,59.98,36,737,-39.67999999999999
01230,SAN JOSE DE LA MONTAÑA,ANTIOQUIA,Antioquia rural uribista,3273,1569,1704,55,15,191,12.17,927,59.08,131,736,-46.91
07292,SUTATENZA,BOYACA,Boyacá-Cundi rural,3938,2371,1567,28,2,614,25.89,1349,56.89,67,735,-31.0
40015,CRAVO NORTE,ARAUCA,Llanos petroleros,3703,1333,2370,26,1,242,18.15,976,73.21,8,734,-55.059999999999995
27070,CHIPATA,SANTANDER,Santanderes rurales,4342,2169,2173,31,7,558,25.72,1288,59.38,29,730,-33.660000000000004
27127,MACARAVITA,SANTANDER,Santanderes rurales,2302,1181,1121,14,1,115,9.73,844,71.46,9,729,-61.72999999999999
15022,BITUIMA,CUNDINAMARCA,Bogotá región,2930,1701,1229,19,4,352,20.69,1079,63.43,47,727,-42.739999999999995
27219,VETAS,SANTANDER,Santanderes rurales,1477,958,519,10,2,41,4.27,765,79.85,19,724,-75.58
27031,CALIFORNIA,SANTANDER,Santanderes rurales,1821,1266,555,17,1,191,15.08,908,71.72,37,717,-56.64
07248,SAN MIGUEL DE SEMA,BOYACA,Boyacá-Cundi rural,2881,1816,1065,20,6,389,21.42,1105,60.84,40,716,-39.42
01073,CAMPAMENTO,ANTIOQUIA,Antioquia rural uribista,7196,2031,5165,64,14,426,20.97,1131,55.68,91,705,-34.71
07130,LA CAPILLA,BOYACA,Boyacá-Cundi rural,2459,1546,913,16,3,315,20.37,1018,65.84,41,703,-45.47
27109,HATO,SANTANDER,Santanderes rurales,2186,1417,769,16,2,263,18.56,952,67.18,21,689,-48.620000000000005
01078,CARACOLI,ANTIOQUIA,Magdalena Medio,4855,1965,2890,29,11,445,22.64,1129,57.45,41,684,-34.81
01193,OLAYA,ANTIOQUIA,Antioquia rural uribista,3003,1619,1384,25,5,259,15.99,938,57.93,43,679,-41.94
07286,SUSACON,BOYACA,Boyacá-Cundi rural,2501,1380,1121,20,10,219,15.86,892,64.63,19,673,-48.769999999999996
27178,SAN BENITO,SANTANDER,Santanderes rurales,2958,1331,1627,9,5,188,14.12,842,63.26,13,654,-49.14
07223,RONDON,BOYACA,Boyacá-Cundi rural,2259,1347,912,9,3,276,20.48,917,68.07,18,641,-47.58999999999999
07193,PAYA,BOYACA,Boyacá-Cundi rural,1763,962,801,9,7,115,11.95,755,78.48,7,640,-66.53
88490,ISRAEL,CONSULADOS,Exterior (consulados),2311,895,1416,2,0,92,10.27,728,81.34,19,636,-71.07000000000001
27190,SAN MIGUEL,SANTANDER,Santanderes rurales,2184,1305,879,12,4,225,17.24,838,64.21,11,613,-46.97
