codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
05097,SIMITI,BOLIVAR,Caribe + Magdalena Medio,13893,6558,7335,107,19,2035,31.03,3770,57.48,78,1735,-26.449999999999996
28049,GUARANDA,SUCRE,Caribe + Magdalena Medio,15347,6020,9327,71,17,1900,31.56,3616,60.06,41,1716,-28.500000000000004
19047,LA ARGENTINA (PLATA VIEJA),HUILA,Sur Tolima-Huila-Caquetá,12974,6863,6111,184,30,2210,32.2,3918,57.08,98,1708,-24.879999999999995
44005,EL DONCELLO,CAQUETA,Sur Tolima-Huila-Caquetá,15988,8099,7889,269,41,2624,32.39,4301,53.1,170,1677,-20.71
05079,SAN JUAN NEPOMUCENO,BOLIVAR,Caribe + Magdalena Medio,32807,14433,18374,214,56,5954,41.25,7609,52.71,158,1655,-11.46
72001,PUERTO CARREÑO,VICHADA,Llanos petroleros,21237,8443,12794,190,33,2767,32.77,4399,52.1,176,1632,-19.33
29022,CAJAMARCA,TOLIMA,Sur Tolima-Huila-Caquetá,17085,8884,8201,217,40,2900,32.64,4531,51.0,207,1631,-18.36
29025,CARMEN DE APICALA,TOLIMA,Sur Tolima-Huila-Caquetá,10551,6174,4377,100,10,1592,25.78,3222,52.18,153,1630,-26.4
01192,NECOCLI,ANTIOQUIA,Urabá,40425,15373,25052,314,101,5919,38.5,7488,48.7,176,1569,-10.200000000000003
03025,MANATI,ATLANTICO,Caribe norte,17106,5900,11206,54,21,1944,32.94,3508,59.45,86,1564,-26.510000000000005
03016,JUAN DE ACOSTA,ATLANTICO,Caribe norte,19691,9355,10336,83,11,3605,38.53,5145,54.99,207,1540,-16.46
15289,TOCAIMA,CUNDINAMARCA,Bogotá región,13044,7023,6021,131,15,2157,30.71,3692,52.57,168,1535,-21.86
31073,LA VICTORIA,VALLE,Valle del Cauca,11566,6134,5432,130,17,1816,29.6,3343,54.49,122,1527,-24.89
29105,SALDAÑA,TOLIMA,Sur Tolima-Huila-Caquetá,13007,7418,5589,132,29,2234,30.11,3730,50.28,156,1496,-20.17
03055,SUAN,ATLANTICO,Caribe norte,11870,5052,6818,55,4,1661,32.87,3151,62.37,58,1490,-29.5
09106,RISARALDA,CALDAS,Eje cafetero,10544,5178,5366,96,29,1112,21.47,2587,49.96,117,1475,-28.490000000000002
19064,RIVERA,HUILA,Sur Tolima-Huila-Caquetá,20378,12402,7976,228,20,4708,37.96,6181,49.83,298,1473,-11.869999999999997
03010,CANDELARIA,ATLANTICO,Caribe norte,14829,5710,9119,58,25,1964,34.39,3401,59.56,44,1437,-25.17
31100,TORO,VALLE,Valle del Cauca,12816,6109,6707,118,27,1608,26.32,3042,49.79,142,1434,-23.47
07337,VENTAQUEMADA,BOYACA,Boyacá-Cundi rural,11975,6924,5051,145,19,2205,31.84,3623,52.32,236,1418,-20.48
12450,GAMARRA,CESAR,Caribe norte,11520,6245,5275,80,17,2163,34.63,3580,57.32,48,1417,-22.689999999999998
88465,INGLATERRA,CONSULADOS,Exterior (consulados),23331,11638,11693,77,5,3788,32.54,5175,44.46,717,1387,-11.920000000000002
24008,APIA,RISARALDA,Eje cafetero,10746,5513,5233,115,29,1292,23.43,2667,48.37,184,1375,-24.939999999999998
52030,FUENTE DE ORO,META,Llanos petroleros,10056,5758,4298,100,19,1842,31.99,3214,55.81,82,1372,-23.820000000000004
01265,SOPETRAN,ANTIOQUIA,Antioquia rural uribista,13759,7357,6402,95,30,1713,23.28,3047,41.41,206,1334,-18.129999999999995
15217,APULO,CUNDINAMARCA,Bogotá región,7299,4523,2776,68,15,1292,28.56,2622,57.97,74,1330,-29.41
29089,PLANADAS,TOLIMA,Sur Tolima-Huila-Caquetá,24559,10293,14266,263,70,3475,33.76,4800,46.63,171,1325,-12.870000000000005
